Act,Handle,Year,Num
Semi conductor Integrated Circuits Layout- Design Act,1998,2000,37
Chemical Weapons Convention Act,1916,2000,34
Bihar Reorganisation Act,2001,2000,30
Uttar Pradesh Reorganisation Act,2000,2000,29
Madhya Pradesh Reorganisation Act,1992,2000,28
Information Technology Act,1999,2000,21
Designs Act,1917,2000,16
Mizoram University Act,1982,2000,8
Geographical Indications of Goods (Registration and Protection) Act,1981,1999,48
Trade Marks Act,1993,1999,47
"National Trust for Welfare of Persons with Autism, Cerebral Palsy, Mental Retardation and Multiple Disabilities Act",1951,1999,44
Foreign Exchange Management Act,1988,1999,42
Insurance Regulatory and Development Authority Act,1893,1999,41
Central Industrial Security Force (Amendment and Validation) Act,19240,1999,40
Urban Land (Ceiling and Regulation) Repeal Act,18941,1999,15
Leaders of Chief Whips of Recognised Parties and Groups in Parliament (Facilities) Act,1995,1999,5
Lotteries (Regulation) Act,1994,1998,17
National Institute of Pharmaceutical Education and Research Act,1983,1998,13
Dock Workers (Regulation of Employment) (Inapplicability to Major Ports) Act,1939,1997,31
Vice-President's Pension Act,1936,1997,30
Telecom Regulatory Authority of India Act,1929,1997,24
Lalit kala Akademi (Taking Over of Management) Act,1894,1997,17
Industrial Reconstruction Bank (Transfer of Undertakings and Repeal) Act,16226,1997,7
Mahatma Gandhi Antarashtriya Hindi Vishwavidyalaya Act,1987,1997,3
Maulana Azad National Urdu University Act,1975,1997,2
Provisions of the Panchayats (Extension to the Scheduled Areas) Act,1973,1996,40
Building and Other Construction Workers' Welfare Cess Act,1948,1996,28
Building and Other Construction Workers (Regulation of Employment and Conditions of Service) Act,1989,1996,27
Arbitration and Conciliation Act,1978,1996,26
Depositories Act,1955,1996,22
Technology Development Board Act,1901,1995,44
Waqf Act,1984,1995,43
Textile Undertakings (Nationalisation) Act,1976,1995,39
Cable Television Networks (Regulation) Act,1928,1995,7
Babasaheb Bhimrao Ambedkar University Act,1961,1994,58
Pre-conception and Pre-natal Diagnostic Techniques (Prohibition of Sex Selection) Act,1937,1994,57
Airports Authority of India Act,1979,1994,55
Punjab Municipal Corporation Law (Extension to Chandigarh) Act,1926,1994,45
New Delhi Municipal Council Act,1986,1994,44
Manipur Municipalities Act,1972,1994,43
Transplantation of Human Organs and Tissues Act,1962,1994,42
Manipur Panchayati Raj Act,1899,1994,26
Protection of Human Rights Act,15709,1994,10
Kalakshetra Foundation Act,1969,1994,6
National Council for Teacher Education Act,1938,1993,73
Public Records Act,1921,1993,69
Oil and Natural Gas Commission (Transfer of Undertaking and Repeal) Act,1902,1993,65
National Commission for Safai Karamcharis Act,1945,1993,64
Recovery of Debts and Bankruptcy Act,1775,1993,51
Employment of Manual Scavengers and Construction of Dry Latrines (Prohibition) Act,1581,1993,46
Tezpur University Act,1968,1993,45
Central Laws (Extension to Arunachal Pradesh) Act,1956,1993,44
SAARC Convention (Suppression of Terrorism) Act,1940,1993,36
Acquisition of Certain Area at Ayodhya Act,1915,1993,33
Multimodal Transportation of Goods Act,1946,1993,28
Gold Bonds (Immunities and Exemptions) Act,1924,1993,25
Industrial Finance Corporation (Transfer of Undertaking and Repeal) Act,1390,1993,23
"Infant Milk Substitutes, Feeding Bottles and Infant Foods (Regulation of Production, Supply and Distribution) Act",1958,1992,41
Central Agricultural University Act,1898,1992,40
Indo-Tibetan Border Police Force Act,1935,1992,35
Rehabilitation Council of India Act,1977,1992,34
Special Court (Trial of Offences Relating to Transactions in Securities) Act,1966,1992,27
Foreign Trade (Development and Regulation) Act,1947,1992,22
National Commission for Minorities Act,1927,1992,19
Cess and Other Taxes on Minerals (Validation) Act,1910,1992,16
Securities and Exchange Board of India Act,1890,1992,15
Destructive Insects and Pests (Amendment and Validation) Act,19241,1992,12
Government of National Capital Territory of Delhi Act,1923,1992,1
Places of Worship (Special Provisions) Act,1922,1991,42
Remittances of Foreign Exchange and Investment in Foreign Exchange Bonds (Immunities and Exemptions) Act,1905,1991,41
Public Liability Insurance Act,1960,1991,6
Prasar Bharati (Broad casting Corporation of India) Act,1959,1990,25
Armed Forces (Jammu and Kashmir) Special Powers Act,1953,1990,21
National Commission for Women Act,1944,1990,20
Small Industries Development Bank of India Act,1943,1989,39
Nagaland University Act,1932,1989,35
Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act,1920,1989,33
Railways Act,1908,1989,24
Assam University Act,1895,1989,23
National Highways Authority of India Act,1803,1988,68
Motor Vehicles Act,1798,1988,59
Jamia Millia Islamia Act,1793,1988,58
Auroville Foundation Act,1776,1988,54
Labour Laws (Simplification of Procedure for Furnishing Returns and Maintaining Registers by certain Establishments) Act,1687,1988,51
Prevention of Corruption Act,1558,1988,49
Prevention of Illicit Traffic in Narcotic Drugs and Psychotropic Substances Act,1887,1988,46
Prohibition of Benami Property Transactions Act,1840,1988,45
